Name,Quantity,Component
"U1",1," Quad NAND gate"
"S1",1," Pushbutton"
"D2",1,"Green LED"
"R2, R1",2,"1 kΩ Resistor"
"P1",1,"5 , 2.6  Power Supply"
"D1",1,"Red LED"
"R3",1,"220 Ω Resistor"
