Name,Quantity,Component
"U1",1," Arduino Uno R3"
"DIST1",1," Ultrasonic Distance Sensor (4-pin)"
"D1",1,"Red LED"
"R1",1,"220 Ω Resistor"
"PIEZO1",1," Piezo"
