Name,Quantity,Component
"R1",1," Photoresistor"
"R2",1,"10 kΩ Resistor"
"T1",1," NPN Transistor (BJT)"
"D1",1,"Red LED"
"R3",1,"330 Ω Resistor"
"P1",1,"5 , 5  Power Supply"
