Name,Quantity,Component
"T1",1," NPN Transistor (BJT)"
"D1",1,"Red LED"
"R1",1,"330 Ω Resistor"
"R2",1,"10 kΩ Resistor"
"S1",1," Pushbutton"
"BAT1",1," 9V Battery"
