Name,Quantity,Component
"P1",1,"5 , 5  Power Supply"
"K1",1," Relay SPDT"
"D1",1," Diode"
"D2",1,"Green LED"
"T1",1," NPN Transistor (BJT)"
"R1",1,"1 kΩ Resistor"
"R3",1,"220 Ω Resistor"
"S1",1," Slideswitch"
